股票代码,证券简称,参控公司,参控公司代码,参控关系,投资额(万元),持股比例(%),注册资本(万元),注册地,报告期,主营业务,是否上市/挂牌
000001.SZ,平安银行,平安理财有限责任公司,10000154400.0,全资子公司,500000.0,100.0,500000.0,中国深圳,12/31/2023,发行公募与私募理财产品、理财顾问和咨询服务等资产管理相关业务,否
000001.SZ,平安银行,平安理财有限责任公司,10000154400.0,全资子公司,500000.0,100.0,500000.0,中国深圳,06/30/2023,发行公募与私募理财产品、理财顾问和咨询服务等资产管理相关业务,否
000001.SZ,平安银行,平安理财有限责任公司,10000154400.0,全资子公司,500000.0,100.0,500000.0,中国深圳,12/31/2022,发行公募与私募理财产品、理财顾问和咨询服务等资产管理相关业务,否
000002.SZ,万科A,环山集团股份有限公司,10000016114.0,间接控股子公司,12648.08622,99.33,12733.4,青岛,06/30/2023,养殖,否
000002.SZ,万科A,吉林省松花湖国际度假区开发有限公司,10920971.0,间接全资子公司,110000.0,100.0,110000.0,吉林,06/30/2023,旅游度假,否
000002.SZ,万科A,石家庄万科企业有限公司,10920968.0,间接全资子公司,5000.0,100.0,5000.0,石家庄,06/30/2023,,否
000002.SZ,万科A,珠海市泊寓公寓管理有限公司,10920967.0,间接全资子公司,500.0,100.0,500.0,珠海,06/30/2023,长租公寓,否
000002.SZ,万科A,南通万科企业有限公司,10747796.0,间接全资子公司,5000.0,100.0,5000.0,南通,06/30/2023,,否
000002.SZ,万科A,嘉兴万科房地产开发有限公司,10747795.0,间接全资子公司,10000.0,100.0,10000.0,嘉兴,06/30/2023,,否
000002.SZ,万科A,Vanke Holdings USA LLC,10724542.0,间接全资子公司,97250.1,100.0,97250.1,美国,06/30/2023,投资,否
000002.SZ,万科A,福建伯恩物业集团有限公司,10586337.0,间接控股子公司,3481.326,56.06,6210.0,福州,06/30/2023,物业服务,三板摘牌(870995.NQ 伯恩物业)
000002.SZ,万科A,深圳市万睿智能科技有限公司,10450790.0,间接控股子公司,5606.0,56.06,10000.0,深圳,06/30/2023,智能科技,否
000002.SZ,万科A,太原万科企业有限公司,10450328.0,全资子公司,10000.0,100.0,10000.0,太原,06/30/2023,,否
000002.SZ,万科A,郑州万科企业有限公司,10450062.0,全资子公司,10000.0,100.0,10000.0,郑州,06/30/2023,,否
000002.SZ,万科A,浙江浙南万科房地产有限公司,10450054.0,全资子公司,130000.0,100.0,130000.0,温州,06/30/2023,,否
000002.SZ,万科A,扬州万科房地产有限公司,10449982.0,全资子公司,1000.0,100.0,1000.0,扬州,06/30/2023,,否
