证券代码.x,证券中文简称,公司名称,证券代码,证券名称,"资产总计
[报告期]  2022年报
[报表类型]  合并报表
[单位]   元","总市值
[交易日期]  最新
[单位]   元"
000001,平安银行,平安银行股份有限公司,000001.SZ,平安银行,5321514000000,201045312531.28
000002,万科A,万科企业股份有限公司,000002.SZ,万科A,1757124444202.9,100824014175.06
000004,国华网安,深圳国华网安科技股份有限公司,000004.SZ,国华网安,575390741.06,1927456905.92
000006,深振业A,深圳市振业(集团)股份有限公司,000006.SZ,深振业A,26399055778.94,5318980481.24
000008,神州高铁,神州高铁技术股份有限公司,000008.SZ,神州高铁,11248084947.03,7116909529.46
000009,中国宝安,中国宝安集团股份有限公司,000009.SZ,中国宝安,52293310406.08,28268185056.4
000010,美丽生态,深圳美丽生态股份有限公司,000010.SZ,美丽生态,3622677862.65,2805151592.48
000011,深物业A,深圳市物业发展(集团)股份有限公司,000011.SZ,深物业A,15800287610.4,4579546624.8446
000012,南玻A,中国南玻集团股份有限公司,000012.SZ,南玻A,25904013306,13213610725.424
000014,沙河股份,沙河实业股份有限公司,000014.SZ,沙河股份,2990660492.56,2829520358.56
000016,深康佳A,康佳集团股份有限公司,000016.SZ,深康佳A,38016368073.05,6262122113.1451
000017,深中华A,深圳中华自行车(集团)股份有限公司,000017.SZ,深中华A,397253487.93,4718347232.6396
000019,深粮控股,深圳市深粮控股股份有限公司,000019.SZ,深粮控股,7441334674.98,7530313906.5821
000020,深华发A,深圳中恒华发股份有限公司,000020.SZ,深华发A,608823843.28,3041789635.747
000021,深科技,深圳长城开发科技股份有限公司,000021.SZ,深科技,27812939467.81,23283966812.96
000025,特力A,深圳市特力(集团)股份有限公司,000025.SZ,特力A,2232028554.57,6196776363.008
000026,飞亚达,飞亚达精密科技股份有限公司,000026.SZ,飞亚达,4117143911.99,4300667895.7002
000027,深圳能源,深圳能源集团股份有限公司,000027.SZ,深圳能源,141266709113.4,32112381933
000028,国药一致,国药集团一致药业股份有限公司,000028.SZ,国药一致,42615760577.42,15566313425.623
000029,深深房A,深圳经济特区房地产(集团)股份有限公司,000029.SZ,深深房A,5689769802.18,10176940728
000030,富奥股份,富奥汽车零部件股份有限公司,000030.SZ,富奥股份,15259037179.57,9081025642.3729
000031,大悦城,大悦城控股集团股份有限公司,000031.SZ,大悦城,214432267769.07,11744498548.86
000032,深桑达A,深圳市桑达实业股份有限公司,000032.SZ,深桑达A,52850684170.28,23555756143.8
000034,神州数码,神州数码集团股份有限公司,000034.SZ,神州数码,40216041693.52,21607394359.6
000035,中国天楹,中国天楹股份有限公司,000035.SZ,中国天楹,26467772083.58,11003669014.92
000036,华联控股,华联控股股份有限公司,000036.SZ,华联控股,9235911908.91,4303408672.5
000037,深南电A,深圳南山热电股份有限公司,000037.SZ,深南电A,2606216345.99,3329455289.3577
000039,中集集团,中国国际海运集装箱(集团)股份有限公司,000039.SZ,中集集团,145899949000,39896674600.036
000040,东旭蓝天,东旭蓝天新能源股份有限公司,000040.SZ,东旭蓝天,25473554500.66,4802602600.1
000042,中洲控股,深圳市中洲投资控股股份有限公司,000042.SZ,中洲控股,36687104318,3071519862.18
000045,深纺织A,深圳市纺织(集团)股份有限公司,000045.SZ,深纺织A,5617137367.9,4756862036.7068
000048,京基智农,深圳市京基智农时代股份有限公司,000048.SZ,京基智农,17536045755.1,9507800960
000049,德赛电池,深圳市德赛电池科技股份有限公司,000049.SZ,德赛电池,12514553433.29,9112086870.46
000050,深天马A,天马微电子股份有限公司,000050.SZ,深天马A,80989353510.79,21431559603.92
