证券代码.x,股权架构等级
000001,A
000002,B
000004,B
000005,C
000006,C
000007,C
000008,B
000009,B
000010,A
000011,A
000012,B
000014,B
000016,B
000017,B
000019,A
000020,B
000021,B
000023,C
000025,B
000026,B
000027,B
000028,A
000029,C
000030,C
000031,C
000032,C
000034,B
000035,C
000036,B
000037,B
000039,A
000040,A
000042,A
000045,B
000046,C
000048,C
000049,C
000050,B
000055,C
000056,B
000058,A
000059,B
000060,B
000061,B
000062,A
000063,C
000065,B
000066,A
000068,B
000069,A
000070,A
000078,A
000088,A
000089,A
000090,B
000096,A
000099,B
000100,C
000151,B
000153,C
000155,B
000156,B
000157,C
000158,B
000159,C
000166,D
000301,C
000333,C
000338,C
000400,B
000401,B
000402,C
000403,B
000404,B
000407,B
000408,C
000409,B
000410,B
000411,B
000413,B
000415,A
000416,B
000417,A
000419,A
000420,C
000421,A
000422,B
000423,C
000425,C
000426,C
000428,C
000429,C
000430,B
000488,C
000498,A
000501,B
000503,B
000504,B
000505,B
000506,B
000507,B
000509,C
000510,C
000513,B
000514,B
000516,C
000517,B
000518,C
000519,C
000520,C
000521,B
000523,B
000524,B
000525,B
000526,C
000528,B
000529,B
000530,C
000531,B
000532,B
000533,B
000534,B
000536,C
000537,A
000538,C
000539,A
000541,B
000543,A
000544,A
000545,B
000546,B
000547,C
000548,B
000550,B
000551,B
000552,B
000553,A
000554,B
000555,A
000557,C
000558,B
000559,A
000560,C
000561,B
000563,B
000564,B
000565,B
000566,B
000567,B
000568,B
000570,B
000571,B
000572,B
000573,B
000576,A
000581,C
000582,A
000584,C
000586,C
000589,B
000590,B
000591,B
000592,C
000593,C
000595,B
000596,B
000597,B
000598,A
000599,B
000600,A
000601,C
000603,B
000605,B
000607,A
000608,B
000609,B
000610,B
000612,B
000615,B
000617,A
000619,A
000620,A
000622,C
000623,B
000625,C
000626,B
000627,B
000628,A
000629,B
000630,A
000631,A
000632,B
000633,B
000635,A
000636,B
000637,C
000638,B
000639,B
000650,B
000651,B
000652,A
000655,A
000656,C
000657,A
000659,B
000661,B
000663,B
000665,C
000668,B
000669,C
000670,C
000672,C
000676,C
000677,C
000678,B
000679,B
000680,B
000681,C
000682,B
000683,B
000685,B
000686,B
000688,B
000690,B
000691,C
000692,C
000695,B
000697,C
000698,B
000700,B
000701,B
000702,B
000703,B
000705,B
