,Symbol,RalatedParty,EndDate,ISExit,Relationship,RegisterAddress,DirectHoldingRatio,IndirectHoldingRatio,Sub_Symbol,Name,is_foreign,is_subsidiary_listed,ind
0,000001,平安理财有限责任公司,2022-12-31,0,上市公司的子公司,中国深圳,100,,,平安银行,0,0,发行公募与私募理财产品、理财顾问和咨询服务等资产管理相关业务
1,000002,北京万科物业服务有限公司,2022-12-31,0,上市公司的子公司,北京,,56.06,,万科A,0,0,物业服务
2,000002,上海万科物业服务有限公司,2022-12-31,0,上市公司的子公司,上海,,56.06,,万科A,0,0,物业服务
3,000002,南京万科物业管理有限公司,2022-12-31,0,上市公司的子公司,南京,,56.06,,万科A,0,0,物业服务
4,000002,佛山市万科物业服务有限公司,2022-12-31,0,上市公司的子公司,佛山,,56.06,,万科A,0,0,物业服务
5,000002,东莞市万科物业服务有限公司,2022-12-31,0,上市公司的子公司,东莞,,56.06,,万科A,0,0,物业服务
6,000002,广州市万科物业服务有限公司,2022-12-31,0,上市公司的子公司,广州,,56.06,,万科A,0,0,物业服务
7,000002,深圳市万科物业服务有限公司,2022-12-31,0,上市公司的子公司,深圳,,56.06,,万科A,0,0,物业服务
8,000002,万物云空间科技服务股份有限公司,2022-12-31,0,上市公司的子公司,深圳,50.92,5.14,,万科A,0,0,物业服务
18,000002,天津万科物业服务有限公司,2022-12-31,0,上市公司的子公司,天津,,56.06,,万科A,0,0,物业服务
20,000002,沈阳万科物业服务有限公司,2022-12-31,0,上市公司的子公司,沈阳,,56.06,,万科A,0,0,物业服务
21,000002,武汉市万科物业服务有限公司,2022-12-31,0,上市公司的子公司,武汉,,56.06,,万科A,0,0,物业服务
25,000002,环山集团股份有限公司,2022-12-31,0,上市公司的子公司,青岛,,99.33,,万科A,0,0,养殖
26,000002,珠海市泊寓公寓管理有限公司,2022-12-31,0,上市公司的子公司,珠海,,100,,万科A,0,0,长租公寓
27,000002,万科物流发展有限公司,2022-12-31,0,上市公司的子公司,上海,75,,,万科A,0,0,仓储服务
28,000002,吉林省松花湖国际度假区开发有限公司,2022-12-31,0,上市公司的子公司,吉林,,100,,万科A,0,0,旅游度假
29,000002,Vanke Holdings USA LLC,2022-12-31,0,上市公司的子公司,美国,,100,,万科A,1,0,投资
30,000002,东莞市万科建筑技术研究有限公司,2022-12-31,0,上市公司的子公司,东莞,100,,,万科A,0,0,其他
31,000002,万科置业地产(香港)有限公司,2022-12-31,0,上市公司的子公司,香港,49,51,,万科A,0,0,投资
32,000002,万科置业(香港)有限公司,2022-12-31,0,上市公司的子公司,香港,,100,,万科A,0,0,投资
33,000002,万科地产(香港)有限公司,2022-12-31,0,上市公司的子公司,香港,80,20,,万科A,0,0,投资
34,000002,福建伯恩物业集团有限公司,2022-12-31,0,上市公司的子公司,福州,,56.06,,万科A,0,0,物业服务
35,000002,上海阳光智博生活服务集团有限公司,2022-12-31,0,上市公司的子公司,上海,,56.06,,万科A,0,0,物业管理、商业综合体管理服务
